date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:49:26	67/67	---M--	200	added ('OK')	text/plain	date:Thu,%2015%20Dec%202016%2005:19:26%20GMT	http://werkstatt.fuelthemes.net/robots.txt		(from )
10:49:27	53847/53847	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:19:26%20GMT	http://werkstatt.fuelthemes.net/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/index.html	(from )
10:49:27	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2015%20Dec%202016%2005:19:27%20GMT	http://werkstatt.fuelthemes.net/xmlrpc.php	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/xmlrpc.php	(from http://werkstatt.fuelthemes.net/)
10:49:28	29063/29063	---MCZ	200	added ('OK')	text/css	etag:W/%22580a6549-7187%22	http://mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/themes/werkstatt-wp/assets/css/font-awesome.min.css	C:/Users/komal/Desktop/Red%20Morphic/mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/themes/werkstatt-wp/assets/css/font-awesome.min.css	(from http://werkstatt.fuelthemes.net/)
10:49:28	4052/4052	---MC-	200	added ('OK')	application/rss+xml	etag:%22fd2f0dbc322e0217b4d413c8f0c5a486-gzip%22	http://werkstatt.fuelthemes.net/comments/feed/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/comments/feed/index.html	(from http://werkstatt.fuelthemes.net/)
10:49:30	265645/265645	---MCZ	200	added ('OK')	text/css	etag:W/%225851141f-40dad%22	http://mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/themes/werkstatt-wp/assets/css/app.css?ver=1.4	C:/Users/komal/Desktop/Red%20Morphic/mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/themes/werkstatt-wp/assets/css/appad05.css	(from http://werkstatt.fuelthemes.net/)
10:49:33	456194/456194	---MCZ	200	added ('OK')	text/css	etag:W/%2257ce6d64-6f602%22	http://mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.12	C:/Users/komal/Desktop/Red%20Morphic/mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/plugins/js_composer/assets/css/js_composer.min0147.css	(from http://werkstatt.fuelthemes.net/)
10:49:34	97184/97184	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225742c6ad-17ba0%22	http://mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/komal/Desktop/Red%20Morphic/mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-includes/js/jquery/jqueryb8ff.js	(from http://werkstatt.fuelthemes.net/)
10:49:34	10056/10056	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22573eaa90-2748%22	http://mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/komal/Desktop/Red%20Morphic/mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://werkstatt.fuelthemes.net/)
10:49:34	895/895	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2257ce6d64-37f%22	http://mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/plugins/js_composer/assets/js/vendors/woocommerce-add-to-cart.js?ver=4.12	C:/Users/komal/Desktop/Red%20Morphic/mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/plugins/js_composer/assets/js/vendors/woocommerce-add-to-cart0147.js	(from http://werkstatt.fuelthemes.net/)
10:49:36	68259/68259	---MC-	200	added ('OK')	application/rss+xml	etag:%22078527381c45da862577746f0a371634-gzip%22	http://werkstatt.fuelthemes.net/feed/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/feed/index.html	(from http://werkstatt.fuelthemes.net/)
10:49:36	19152/19152	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2015%20Dec%202016%2005:19:35%20GMT	https://use.typekit.net/ryd1cru.js	C:/Users/komal/Desktop/Red%20Morphic/use.typekit.net/ryd1cru.js	(from http://werkstatt.fuelthemes.net/)
10:49:37	878/878	---MCZ	200	added ('OK')	text/xml	date:Thu,%2015%20Dec%202016%2005:19:37%20GMT	http://werkstatt.fuelthemes.net/xmlrpc.php?rsd	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/xmlrpc0db0.php	(from http://werkstatt.fuelthemes.net/)
10:49:38	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%2252a8c1b7-415%22	http://werkstatt.fuelthemes.net/wp-includes/wlwmanifest.xml	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/wp-includes/wlwmanifest.xml	(from http://werkstatt.fuelthemes.net/)
10:49:40	2207/2207	---M--	200	added ('OK')	application/json	date:Thu,%2015%20Dec%202016%2005:19:38%20GMT	http://werkstatt.fuelthemes.net/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwerkstatt.fuelthemes.net%2F	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/wp-json/oembed/1.0/embed7b79.json	(from http://werkstatt.fuelthemes.net/)
10:49:41	2306/2306	---MCZ	200	added ('OK')	text/xml	date:Thu,%2015%20Dec%202016%2005:19:41%20GMT	http://werkstatt.fuelthemes.net/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwerkstatt.fuelthemes.net%2F&format=xml	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/wp-json/oembed/1.0/embede1d1	(from http://werkstatt.fuelthemes.net/)
10:49:42	42545/42545	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Dec%202016%2005:19:41%20GMT	http://werkstatt.fuelthemes.net/9999	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/9999	(from http://werkstatt.fuelthemes.net/)
10:49:43	50972/50972	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:19:42%20GMT	http://werkstatt.fuelthemes.net/home-masonry-style-2/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/home-masonry-style-2/index.html	(from http://werkstatt.fuelthemes.net/)
10:49:43	52688/52688	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:19:42%20GMT	http://werkstatt.fuelthemes.net/home-masonry-style-3/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/home-masonry-style-3/index.html	(from http://werkstatt.fuelthemes.net/)
10:49:43	52756/52756	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:19:42%20GMT	http://werkstatt.fuelthemes.net/grid-4-columns/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/grid-4-columns/index.html	(from http://werkstatt.fuelthemes.net/)
10:49:44	52637/52637	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:19:44%20GMT	http://werkstatt.fuelthemes.net/grid-5-columns/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/grid-5-columns/index.html	(from http://werkstatt.fuelthemes.net/)
10:49:44	1179/1179	---M--	200	added ('OK')	image/png	etag:%225803ce88-49b%22	http://mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/themes/werkstatt-wp/assets/img/logo.png	C:/Users/komal/Desktop/Red%20Morphic/mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/themes/werkstatt-wp/assets/img/logo.png	(from http://werkstatt.fuelthemes.net/)
10:49:45	53882/53882	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:19:44%20GMT	http://werkstatt.fuelthemes.net/grid-3-columns/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/grid-3-columns/index.html	(from http://werkstatt.fuelthemes.net/)
10:49:46	125406/125406	---M--	200	added ('OK')	application/json	date:Thu,%2015%20Dec%202016%2005:19:38%20GMT	http://werkstatt.fuelthemes.net/wp-json/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/wp-json/index.html	(from http://werkstatt.fuelthemes.net/)
10:49:46	52156/52156	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:19:45%20GMT	http://werkstatt.fuelthemes.net/blog/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/blog/index.html	(from http://werkstatt.fuelthemes.net/)
10:49:46	1179/1179	---M--	200	added ('OK')	image/png	etag:%225803ce87-49b%22	http://mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/themes/werkstatt-wp/assets/img/logo-light.png	C:/Users/komal/Desktop/Red%20Morphic/mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/themes/werkstatt-wp/assets/img/logo-light.png	(from http://werkstatt.fuelthemes.net/)
10:49:46	53711/53711	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:19:45%20GMT	http://werkstatt.fuelthemes.net/grid-2-columns/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/grid-2-columns/index.html	(from http://werkstatt.fuelthemes.net/)
